No,éš¾åº¦
1, Easy
2, Medium
3, Medium
7, Easy
9, Easy
13, Easy
14, Easy
15, Medium
19, Medium
20, Easy
21, Easy
23, Hard
24, Medium
26, Easy
27, Easy
28, Easy
35, Easy
38, Medium
43, Medium
50, Medium
53, Easy
55, Medium
56, Medium
58, Easy
61, Medium
66, Easy
67, Easy
69, Easy
70, Easy
71, Medium
80, Medium
82, Medium
83, Easy
84, Hard
86, Medium
88, Easy
92, Medium
93, Medium
94, Easy
100, Easy
102, Medium
105, Medium
106, Medium
107, Medium
109, Medium
112, Easy
118, Easy
119, Easy
121, Easy
122, Medium
125, Easy
129, Medium
136, Easy
141, Easy
142, Medium
143, Medium
144, Easy
145, Easy
146, Medium
147, Medium
148, Medium
151, Medium
155, Easy
160, Easy
167, Easy
168, Easy
169, Easy
171, Easy
172, Medium
175, Easy
176, Medium
177, Medium
181, Easy
182, Easy
183, Easy
185, Hard
189, Medium
190, Easy
191, Easy
195, Easy
196, Easy
197, Easy
202, Easy
203, Easy
206, Easy
208, Medium
211, Medium
217, Easy
219, Easy
225, Easy
231, Easy
232, Easy
234, Easy
237, Easy
258, Easy
262, Hard
268, Easy
316, Medium
322, Medium
328, Medium
342, Easy
344, Easy
345, Easy
349, Easy
350, Easy
387, Easy
429, Medium
442, Medium
445, Medium
448, Easy
459, Easy
468, Medium
485, Easy
509, Easy
561, Easy
567, Medium
595, Easy
596, Easy
620, Easy
627, Easy
637, Easy
643, Easy
670, Medium
674, Easy
677, Medium
680,Easy
704, Easy
709, Easy
725, Medium
784, Medium
817, Medium
852, Easy
876, Easy
889, Medium
916, Medium
941, Easy
961, Easy
989, Easy
1046, Easy
1047, Easy
1051, Easy
1071, Easy
1072, Medium
1078, Easy
1171, Medium
1207, Easy
1262, Medium
1290, Easy
1323, Easy
1331, Easy
1365, Easy
1374, Easy
1446, Easy
1470, Easy
1480, Easy
1486, Easy
1491, Easy
1502, Easy
1512, Easy
1528, Easy
1550, Easy
1624, Easy
1636, Easy
1646, Easy
1662, Easy
1668, Easy
1669, Medium
1721, Medium
1768, Easy